number,elo
487,1215.82
493,1220.31
494,1232.05
495,1243.68
497,1250.44
499,1254.81
503,1263.87
505,1272.86
510,1279.12
517,1283.4
519,1292.26
523,1296.5
526,1302.99
529,1311.72
532,1322.66
534,1326.81
538,1337.63
539,1356.4
541,1362.02
543,1386.9
544,1394.47
545,1410.3
548,1434.36
550,1458.22
554,1480.59
556,1500.63
557,1509.46
560,1530.03
562,1538.83
563,1559.03
564,1569.54
565,1579.98
566,1601.57
569,1611.87
574,1627.06
575,1633.6
576,1638.36
578,1646.62
583,1654.95
594,1675.6
595,1694.22
611,1710.89
