number,elo
502,1204.55
523,1213.9
524,1217.93
525,1224.33
527,1233.6
528,1242.8
531,1256.74
532,1263.43
536,1270.08
542,1281.38
554,1294.91
558,1303.69
560,1307.89
561,1321.16
572,1327.53
584,1333.88
588,1344.64
593,1348.73
599,1359.38
603,1367.76
610,1371.77
614,1375.78
616,1384.06
619,1390.16
624,1400.5
629,1406.53
631,1412.53
634,1416.43
645,1420.31
651,1424.19
654,1428.05
655,1440.22
660,1448.15
671,1451.95
672,1455.74
685,1459.53
691,1463.3
698,1467.07
702,1476.88
703,1486.63
705,1490.34
729,1550
731,1509.61
732,1519.15
736,1526.67
739,1532.22
740,1535.82
744,1545.21
745,1550.69
748,1559.99
749,1565.42
756,1570.83
760,1576.23
768,1581.61
802,1585.1
806,1592.32
807,1603.26
812,1614.13
824,1624.92
825,1628.33
827,1636.28
828,1639.66
829,1645.88
841,1656.47
842,1661.59
845,1668.49
853,1671.81
859,1680.45
860,1687.27
862,1695.83
864,1704.34
873,1707.6
875,1712.57
877,1721
881,1731.15
885,1736.06
886,1744.38
887,1752.67
889,1760.92
891,1764.07
892,1768.89
893,1772.03
895,1775.16
897,1784.99
898,1794.77
899,1801.17
903,1805.52
904,1813.98
906,1821.49
908,1825.79
909,1830.09
914,1835.95
918,1841.8
921,1860.43
928,1874.07
930,1878.26
933,1894.95
938,1913.07
941,1922.61
944,1932.76
945,1941.35
947,1946.9
948,1953.93
951,1959.45
953,1975.47
958,1979.46
959,1984.91
960,1996.24
961,2000.2
963,2015.9
964,2025.61
