number,elo
502,1211.93
503,1223.75
506,1228.21
507,1242.31
508,1249.08
514,1262.95
520,1267.28
530,1271.6
534,1278.21
538,1289.43
544,1295.96
545,1300.19
547,1311.23
550,1315.41
554,1319.58
564,1323.73
576,1330.1
577,1338.66
580,1344.02
581,1352.49
584,1358.73
590,1362.77
591,1371.13
592,1377.28
593,1389.89
595,1402.39
598,1410.52
610,1413.41
613,1417.3
615,1425.35
616,1433.35
617,1439.24
623,1449.24
624,1454.43
625,1462.28
629,1479.43
631,1496.57
632,1507.49
638,1518.33
655,1535.95
656,1558.13
657,1563.09
658,1568.47
662,1578.92
667,1593
672,1597.87
673,1602.72
674,1609.35
678,1626.85
679,1638.76
684,1643.5
692,1664.29
697,1672.43
698,1680.53
702,1693.81
703,1701.82
704,1721.13
706,1728.29
707,1742.93
708,1754.07
711,1760.17
712,1764.61
713,1778.77
716,1796.35
717,1815.43
722,1819.75
723,1833.68
724,1850.76
727,1861.29
729,1868.62
734,1872.82
735,1886.38
737,1893.62
738,1910.18
741,1914.3
743,1918.41
746,1931.66
747,1935.74
748,1939.81
751,1946.86
752,1964.52
753,1972.97
754,1989.42
760,1993.39
768,2003.2
775,2011.5
779,2022.69
780,2030.91
783,2040.55
784,2055.95
791,2062.63
792,2073.55
793,2077.37
794,2082.58
798,2093.4
807,2102.76
811,2114.89
816,2129.77
817,2140.36
823,2145.42
826,2154.57
829,2163.68
833,2170.04
834,2181.81
836,2185.45
843,2190.42
848,2196.71
849,2211.05
851,2221.27
852,2230.12
854,2234.99
855,2241.16
856,2244.71
866,2254.78
870,2268.77
874,2278.74
875,2284.8
880,2288.29
882,2293.05
884,2308.12
885,2320.5
888,2330.26
889,2333.68
893,2337.1
895,2349.33
898,2360.23
899,2371.08
902,2374.45
905,2377.82
