number,elo
489,1211.93
490,1221.29
491,1230.58
492,1237.41
496,1247.62
499,1252.01
500,1258.72
505,1267.75
507,1276.71
508,1290.29
523,1299.11
532,1303.32
533,1314.33
535,1322.99
554,1329.36
563,1333.49
576,1337.6
582,1346.11
583,1354.57
587,1367.39
591,1371.41
593,1384.07
598,1392.23
599,1416.59
600,1424.37
601,1432.19
602,1456.25
603,1479.26
604,1488.34
605,1493.51
606,1516.29
608,1530.92
609,1535.96
610,1540.99
611,1546.97
612,1551.97
613,1557.9
614,1562.86
615,1567.81
616,1572.75
617,1577.67
618,1586.22
619,1591.1
