number,elo
502,1214.42
503,1221.34
505,1225.81
511,1230.27
514,1234.71
518,1239.14
520,1248.3
525,1259.78
527,1273.54
528,1280.15
529,1289.03
533,1295.56
536,1304.33
539,1310.79
542,1317.21
546,1330.39
552,1351.24
553,1370.9
554,1376.47
555,1382.02
556,1389.61
557,1401.3
558,1411.74
559,1435.78
560,1441.12
561,1446.45
562,1469.94
563,1487.01
564,1503.89
565,1520.59
566,1532.43
574,1555.72
575,1563.23
580,1568.18
583,1582.36
585,1588.29
587,1600.17
589,1605.02
591,1609.85
592,1614.67
593,1635.81
596,1642.32
597,1661.3
600,1665.98
